Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
28,28,20,15,26,22
13,21,20,15,6,12
14,20,20,15,7,13
15,21,20,15,8,14
14,22,20,15,9,13
15,21,20,15,10,12
14,22,20,15,9,13
15,21,20,15,10,12
16,20,20,15,11,13
15,21,20,15,10,14
16,20,20,15,11,15
17,19,20,15,12,16
18,20,20,15,11,17
19,21,20,15,10,18
20,20,20,15,9,19
19,21,20,15,10,18
20,20,20,15,11,19
19,21,20,15,12,18
18,22,20,15,11,19
19,23,20,15,12,20
20,24,20,15,13,19
21,25,20,15,14,20
20,26,20,15,13,21
21,27,20,15,14,20
22,28,20,15,13,21
21,29,20,15,14,22
20,28,20,15,15,23
19,29,20,15,16,22
18,28,20,15,17,23
19,27,20,15,16,24
20,28,20,15,15,25
21,27,20,15,14,26
22,28,20,15,13,27
21,29,20,15,12,28
22,28,20,15,13,27
21,29,20,15,12,28
20,28,20,15,13,27
19,29,20,15,12,28
18,28,20,15,13,27
19,27,20,15,14,26
18,28,20,15,15,25
19,29,20,15,14,26
19,29,20,15,13,27
20,28,20,15,14,26
21,27,20,15,15,25
22,26,20,15,16,24
23,27,20,15,15,25
24,26,20,15,14,26
25,25,20,15,15,25
24,26,20,15,16,24
25,25,20,15,17,23
26,24,20,15,16,24
25,25,20,15,15,25
24,26,20,15,16,24
23,27,20,15,15,25
24,28,20,15,16,24
25,27,20,15,17,25
26,26,20,15,18,24
27,27,20,15,19,23
28,28,20,15,20,22
27,29,20,15,21,21
28,28,20,15,22,20
27,27,20,15,23,19
28,28,20,15,24,20
27,27,20,15,25,21
28,28,20,15,26,22
